Date	Missing	NaN	Hot_Temps	Cold_Temps
1/1/2023	0	0	895	71183136
1/2/2023	0	0	602	71944032
1/3/2023	0	0	311	71667456
1/4/2023	0	0	678	71884128
1/5/2023	0	0	330	72053568
1/6/2023	0	0	562	71735136
1/7/2023	0	0	260	71836992
1/8/2023	0	0	461	71563296
1/9/2023	0	0	217	72192192
1/10/2023	0	0	341	71918688
1/11/2023	0	0	599	71929536
1/12/2023	0	0	470	71915040
1/13/2023	0	0	687	72050208
1/14/2023	0	0	562	72122016
1/15/2023	0	0	670	72034080
1/16/2023	0	0	428	72100032
1/17/2023	0	0	546	71847648
1/18/2023	0	0	342	72164736
1/19/2023	0	0	438	71892384
1/20/2023	0	0	611	71868480
1/21/2023	0	0	280	71912256
1/22/2023	0	0	548	71942976
1/23/2023	0	0	375	72099840
1/24/2023	0	0	357	72005088
1/25/2023	0	0	342	71750976
1/26/2023	0	0	449	71549184
1/27/2023	0	0	396	71825760
1/28/2023	0	0	447	71918016
1/29/2023	0	0	578	71979936
1/30/2023	0	0	328	71604480
1/31/2023	0	0	365	71612544
